timestamp_unix,timestamp_iso,participant_full_id,activity_class,missing_value_reason
1717002780000,2024-05-29T17:13:00Z,101-1-1-0005,generic,
1717002840000,2024-05-29T17:14:00Z,101-1-1-0005,walking,
1717002900000,2024-05-29T17:15:00Z,101-1-1-0005,walking,
1717002960000,2024-05-29T17:16:00Z,101-1-1-0005,generic,
1717003020000,2024-05-29T17:17:00Z,101-1-1-0005,generic,
1717003080000,2024-05-29T17:18:00Z,101-1-1-0005,generic,
1717003140000,2024-05-29T17:19:00Z,101-1-1-0005,generic,
1717003200000,2024-05-29T17:20:00Z,101-1-1-0005,generic,
1717003260000,2024-05-29T17:21:00Z,101-1-1-0005,generic,
1717003320000,2024-05-29T17:22:00Z,101-1-1-0005,generic,
1717003380000,2024-05-29T17:23:00Z,101-1-1-0005,generic,
1717003440000,2024-05-29T17:24:00Z,101-1-1-0005,walking,
1717003500000,2024-05-29T17:25:00Z,101-1-1-0005,still,
1717003560000,2024-05-29T17:26:00Z,101-1-1-0005,still,
1717003620000,2024-05-29T17:27:00Z,101-1-1-0005,still,
1717003680000,2024-05-29T17:28:00Z,101-1-1-0005,generic,
1717003740000,2024-05-29T17:29:00Z,101-1-1-0005,,device_not_worn_correctly
1717003800000,2024-05-29T17:30:00Z,101-1-1-0005,,device_not_worn_correctly
1717003860000,2024-05-29T17:31:00Z,101-1-1-0005,,device_not_worn_correctly
1717003920000,2024-05-29T17:32:00Z,101-1-1-0005,,device_not_worn_correctly
1717003980000,2024-05-29T17:33:00Z,101-1-1-0005,,device_not_worn_correctly
1717004040000,2024-05-29T17:34:00Z,101-1-1-0005,,device_not_worn_correctly
1717004100000,2024-05-29T17:35:00Z,101-1-1-0005,,device_not_worn_correctly
1717004160000,2024-05-29T17:36:00Z,101-1-1-0005,,device_not_worn_correctly
1717004220000,2024-05-29T17:37:00Z,101-1-1-0005,,device_not_worn_correctly
1717004280000,2024-05-29T17:38:00Z,101-1-1-0005,,device_not_worn_correctly
1717004340000,2024-05-29T17:39:00Z,101-1-1-0005,,device_not_worn_correctly
1717004400000,2024-05-29T17:40:00Z,101-1-1-0005,,device_not_worn_correctly
1717004460000,2024-05-29T17:41:00Z,101-1-1-0005,,device_not_worn_correctly
1717004520000,2024-05-29T17:42:00Z,101-1-1-0005,,device_not_worn_correctly
1717004580000,2024-05-29T17:43:00Z,101-1-1-0005,,device_not_worn_correctly
1717004640000,2024-05-29T17:44:00Z,101-1-1-0005,,device_not_worn_correctly
1717004700000,2024-05-29T17:45:00Z,101-1-1-0005,,device_not_worn_correctly
1717004760000,2024-05-29T17:46:00Z,101-1-1-0005,,device_not_worn_correctly
1717004820000,2024-05-29T17:47:00Z,101-1-1-0005,,device_not_worn_correctly
1717004880000,2024-05-29T17:48:00Z,101-1-1-0005,,device_not_worn_correctly
1717004940000,2024-05-29T17:49:00Z,101-1-1-0005,,device_not_worn_correctly
1717005000000,2024-05-29T17:50:00Z,101-1-1-0005,,device_not_worn_correctly
1717005060000,2024-05-29T17:51:00Z,101-1-1-0005,,device_not_worn_correctly
1717005120000,2024-05-29T17:52:00Z,101-1-1-0005,,device_not_worn_correctly
1717005180000,2024-05-29T17:53:00Z,101-1-1-0005,generic,
1717005240000,2024-05-29T17:54:00Z,101-1-1-0005,generic,
1717005300000,2024-05-29T17:55:00Z,101-1-1-0005,walking,
1717005360000,2024-05-29T17:56:00Z,101-1-1-0005,walking,
1717005420000,2024-05-29T17:57:00Z,101-1-1-0005,walking,
1717005480000,2024-05-29T17:58:00Z,101-1-1-0005,walking,
1717005540000,2024-05-29T17:59:00Z,101-1-1-0005,generic,
1717005600000,2024-05-29T18:00:00Z,101-1-1-0005,still,
1717005660000,2024-05-29T18:01:00Z,101-1-1-0005,still,
1717005720000,2024-05-29T18:02:00Z,101-1-1-0005,still,
1717005780000,2024-05-29T18:03:00Z,101-1-1-0005,still,
1717005840000,2024-05-29T18:04:00Z,101-1-1-0005,generic,
1717005900000,2024-05-29T18:05:00Z,101-1-1-0005,still,
1717005960000,2024-05-29T18:06:00Z,101-1-1-0005,generic,
1717006020000,2024-05-29T18:07:00Z,101-1-1-0005,generic,
1717006080000,2024-05-29T18:08:00Z,101-1-1-0005,generic,
1717006140000,2024-05-29T18:09:00Z,101-1-1-0005,generic,
1717006200000,2024-05-29T18:10:00Z,101-1-1-0005,walking,
1717006260000,2024-05-29T18:11:00Z,101-1-1-0005,walking,
1717006320000,2024-05-29T18:12:00Z,101-1-1-0005,still,
1717006380000,2024-05-29T18:13:00Z,101-1-1-0005,generic,
1717006440000,2024-05-29T18:14:00Z,101-1-1-0005,generic,
1717006500000,2024-05-29T18:15:00Z,101-1-1-0005,generic,
1717006560000,2024-05-29T18:16:00Z,101-1-1-0005,generic,
1717006620000,2024-05-29T18:17:00Z,101-1-1-0005,still,
1717006680000,2024-05-29T18:18:00Z,101-1-1-0005,generic,
1717006740000,2024-05-29T18:19:00Z,101-1-1-0005,still,
1717006800000,2024-05-29T18:20:00Z,101-1-1-0005,still,
1717006860000,2024-05-29T18:21:00Z,101-1-1-0005,still,
1717006920000,2024-05-29T18:22:00Z,101-1-1-0005,generic,
1717006980000,2024-05-29T18:23:00Z,101-1-1-0005,still,
1717007040000,2024-05-29T18:24:00Z,101-1-1-0005,still,
1717007100000,2024-05-29T18:25:00Z,101-1-1-0005,still,
1717007160000,2024-05-29T18:26:00Z,101-1-1-0005,still,
1717007220000,2024-05-29T18:27:00Z,101-1-1-0005,generic,
1717007280000,2024-05-29T18:28:00Z,101-1-1-0005,still,
1717007340000,2024-05-29T18:29:00Z,101-1-1-0005,still,
