timestamp_unix,timestamp_iso,participant_full_id,temperature_celsius,missing_value_reason
1673154180000,2023-01-08T05:03:00Z,101-1-1-0004,30.83,
1673154240000,2023-01-08T05:04:00Z,101-1-1-0004,30.9,
1673154300000,2023-01-08T05:05:00Z,101-1-1-0004,30.97,
1673154360000,2023-01-08T05:06:00Z,101-1-1-0004,31.08,
1673154420000,2023-01-08T05:07:00Z,101-1-1-0004,31.17,
1673154480000,2023-01-08T05:08:00Z,101-1-1-0004,31.25,
1673154540000,2023-01-08T05:09:00Z,101-1-1-0004,31.3,
1673154600000,2023-01-08T05:10:00Z,101-1-1-0004,31.35,
1673154660000,2023-01-08T05:11:00Z,101-1-1-0004,31.39,
1673154720000,2023-01-08T05:12:00Z,101-1-1-0004,31.4,
1673154780000,2023-01-08T05:13:00Z,101-1-1-0004,31.41,
1673154840000,2023-01-08T05:14:00Z,101-1-1-0004,31.4,
1673154900000,2023-01-08T05:15:00Z,101-1-1-0004,31.4,
1673154960000,2023-01-08T05:16:00Z,101-1-1-0004,31.39,
1673155020000,2023-01-08T05:17:00Z,101-1-1-0004,31.37,
1673155080000,2023-01-08T05:18:00Z,101-1-1-0004,31.35,
1673155140000,2023-01-08T05:19:00Z,101-1-1-0004,31.33,
1673155200000,2023-01-08T05:20:00Z,101-1-1-0004,31.31,
1673155260000,2023-01-08T05:21:00Z,101-1-1-0004,31.28,
1673155320000,2023-01-08T05:22:00Z,101-1-1-0004,31.23,
1673155380000,2023-01-08T05:23:00Z,101-1-1-0004,31.18,
1673155440000,2023-01-08T05:24:00Z,101-1-1-0004,31.13,
1673155500000,2023-01-08T05:25:00Z,101-1-1-0004,31.08,
1673155560000,2023-01-08T05:26:00Z,101-1-1-0004,31.04,
1673155620000,2023-01-08T05:27:00Z,101-1-1-0004,31.01,
1673155680000,2023-01-08T05:28:00Z,101-1-1-0004,30.98,
1673155740000,2023-01-08T05:29:00Z,101-1-1-0004,30.95,
1673155800000,2023-01-08T05:30:00Z,101-1-1-0004,30.93,
1673155860000,2023-01-08T05:31:00Z,101-1-1-0004,30.9,
1673155920000,2023-01-08T05:32:00Z,101-1-1-0004,30.88,
1673155980000,2023-01-08T05:33:00Z,101-1-1-0004,30.85,
1673156040000,2023-01-08T05:34:00Z,101-1-1-0004,30.83,
1673156100000,2023-01-08T05:35:00Z,101-1-1-0004,30.84,
1673156160000,2023-01-08T05:36:00Z,101-1-1-0004,31.04,
1673156220000,2023-01-08T05:37:00Z,101-1-1-0004,31.32,
1673156280000,2023-01-08T05:38:00Z,101-1-1-0004,31.58,
1673156340000,2023-01-08T05:39:00Z,101-1-1-0004,31.84,
1673156400000,2023-01-08T05:40:00Z,101-1-1-0004,32.06,
1673156460000,2023-01-08T05:41:00Z,101-1-1-0004,32.27,
1673156520000,2023-01-08T05:42:00Z,101-1-1-0004,32.44,
1673156580000,2023-01-08T05:43:00Z,101-1-1-0004,32.58,
1673156640000,2023-01-08T05:44:00Z,101-1-1-0004,32.68,
1673156700000,2023-01-08T05:45:00Z,101-1-1-0004,32.78,
1673156760000,2023-01-08T05:46:00Z,101-1-1-0004,32.88,
1673156820000,2023-01-08T05:47:00Z,101-1-1-0004,32.98,
1673156880000,2023-01-08T05:48:00Z,101-1-1-0004,33.08,
1673156940000,2023-01-08T05:49:00Z,101-1-1-0004,33.15,
1673157000000,2023-01-08T05:50:00Z,101-1-1-0004,33.23,
1673157060000,2023-01-08T05:51:00Z,101-1-1-0004,33.33,
1673157120000,2023-01-08T05:52:00Z,101-1-1-0004,33.42,
1673157180000,2023-01-08T05:53:00Z,101-1-1-0004,33.5,
1673157240000,2023-01-08T05:54:00Z,101-1-1-0004,33.58,
1673157300000,2023-01-08T05:55:00Z,101-1-1-0004,33.65,
1673157360000,2023-01-08T05:56:00Z,101-1-1-0004,33.72,
1673157420000,2023-01-08T05:57:00Z,101-1-1-0004,33.78,
1673157480000,2023-01-08T05:58:00Z,101-1-1-0004,33.84,
1673157540000,2023-01-08T05:59:00Z,101-1-1-0004,33.9,
1673157600000,2023-01-08T06:00:00Z,101-1-1-0004,33.95,
1673157660000,2023-01-08T06:01:00Z,101-1-1-0004,34.01,
1673157720000,2023-01-08T06:02:00Z,101-1-1-0004,34.07,
1673157780000,2023-01-08T06:03:00Z,101-1-1-0004,34.1,
1673157840000,2023-01-08T06:04:00Z,101-1-1-0004,34.15,
1673157900000,2023-01-08T06:05:00Z,101-1-1-0004,34.19,
1673157960000,2023-01-08T06:06:00Z,101-1-1-0004,34.24,
1673158020000,2023-01-08T06:07:00Z,101-1-1-0004,34.24,
1673158080000,2023-01-08T06:08:00Z,101-1-1-0004,34.08,
1673158140000,2023-01-08T06:09:00Z,101-1-1-0004,33.88,
1673158200000,2023-01-08T06:10:00Z,101-1-1-0004,33.67,
1673158260000,2023-01-08T06:11:00Z,101-1-1-0004,33.48,
1673158320000,2023-01-08T06:12:00Z,101-1-1-0004,33.29,
1673158380000,2023-01-08T06:13:00Z,101-1-1-0004,33.14,
1673158440000,2023-01-08T06:14:00Z,101-1-1-0004,33.03,
1673158500000,2023-01-08T06:15:00Z,101-1-1-0004,32.94,
1673158560000,2023-01-08T06:16:00Z,101-1-1-0004,32.87,
1673158620000,2023-01-08T06:17:00Z,101-1-1-0004,32.81,
1673158680000,2023-01-08T06:18:00Z,101-1-1-0004,32.75,
1673158740000,2023-01-08T06:19:00Z,101-1-1-0004,32.71,
1673158800000,2023-01-08T06:20:00Z,101-1-1-0004,32.67,
1673158860000,2023-01-08T06:21:00Z,101-1-1-0004,32.64,
1673158920000,2023-01-08T06:22:00Z,101-1-1-0004,32.62,
1673158980000,2023-01-08T06:23:00Z,101-1-1-0004,32.6,
1673159040000,2023-01-08T06:24:00Z,101-1-1-0004,32.58,
1673159100000,2023-01-08T06:25:00Z,101-1-1-0004,32.58,
1673159160000,2023-01-08T06:26:00Z,101-1-1-0004,32.57,
1673159220000,2023-01-08T06:27:00Z,101-1-1-0004,32.54,
1673159280000,2023-01-08T06:28:00Z,101-1-1-0004,32.53,
1673159340000,2023-01-08T06:29:00Z,101-1-1-0004,32.54,
1673159400000,2023-01-08T06:30:00Z,101-1-1-0004,32.54,
1673159460000,2023-01-08T06:31:00Z,101-1-1-0004,32.53,
1673159520000,2023-01-08T06:32:00Z,101-1-1-0004,32.51,
